Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CIV,Cote d'Ivoire,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,180.754685561768,185.978572985287,201.270681804663,208.529770126458,212.122398433751,197.654050136067,206.563797154834,200.763483812412,191.32577398935,224.206758968233,224.290359403695,215.983959233769,234.77039172085,225.831064469896,313.70954410553,320.892076478498,315.505957170349,332.813372628356,326.669924080428,317.154645973228,..,..
CMR,Cameroon,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,196.383935001869,206.140645641911,215.049135273331,229.89987445549,242.156560493893,238.546963869723,232.796520786939,229.491671665735,224.780190649663,216.989564321714,217.157693064082,210.230898167818,206.492851907094,206.143824589846,204.555309520244,200.674163238929,186.557398744899,170.24337120532,166.892664315633,176.992012413723,..,..
COG,"Congo, Rep.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,93.8258703969367,93.929089014358,92.2114065706388,93.3276706535175,89.809456189251,90.4960230964299,86.5451648828875,82.1411874939121,80.5343431543117,79.1476220098898,86.7048569207767,91.5276720166275,85.3532853879027,96.5323001222767,96.3671982395244,101.171013240981,93.8662796568494,99.9910023672312,98.6260213397719,99.0522210856017,..,..
COK,Cook Islands,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COL,Colombia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,119.65945949754,119.217829363359,117.787377697253,121.2860658014,118.701031141884,114.824633583047,115.197998286699,108.144928189424,112.522883062552,105.700917422934,101.763295313061,99.3991164928006,94.6078049421622,93.5148889165311,89.7744572645891,89.0199438520836,88.3036639146921,82.1490098017314,82.8191257618419,84.5002628126011,..,..
COM,Comoros,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,33.7368506803731,..,..,..,..,..,..,..,..,..,..,..,..,..,52.353300289717,54.6606271384459,61.2859348525239,59.5344372345141,..,..,..,..
CPV,Cape Verde,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,51.1524677952887,..,..,..,..,..,..,..,..,..,..,..,..,..,77.9478564800532,77.4924454730329,72.489221662606,67.3724475554283,..,..,..,..
CRI,Costa Rica,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,105.71427344887,106.723848347705,122.343152082733,101.487931183235,95.817941861578,93.6655744244234,93.078508870883,90.4358721933193,85.3111294043593,86.2085421778024,94.5443207311267,92.0793838497422,95.6333379272842,96.4475493298369,107.05216314761,104.406565697748,106.550750431362,108.99921216206,104.690826649891,106.082601387536,..,..
CUB,Cuba,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CUW,Curacao,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
