,link,date
202,https://rstudio.com/products/rstudio/,2026-01-09
203,https://rcc.uq.edu.au/high-performance-computing,2026-01-09
204,https://rviews.rstudio.com/2019/07/17/3-big-data-strategies-for-r/,2026-01-09
205,https://cran.r-project.org/web/packages/index.html,2026-01-09
206,https://cran.r-project.org/web/views/,2026-01-09
207,https://github.com/uqlibrary/technology-training/blob/master/R/terminology.md,2026-01-09
208,https://link.springer.com/article/10.1007/BF00349318,2026-01-09
209,https://tidymodels.org/start/models/urchins.csv,2026-01-09
210,https://rpubs.com/tmcurley/twowayanova,2026-01-09
211,https://bookdown.org/steve_midway/DAR/understanding-anova-in-r.html#multiple-comparisons,2026-01-09
212,https://bookdown.org/ndphillips/YaRrr/type-i-type-ii-and-type-iii-anovas.html,2026-01-09
213,https://parsnip.tidymodels.org/,2026-01-09
214,https://parsnip.tidymodels.org/reference/linear_reg.html,2026-01-09
215,https://parsnip.tidymodels.org/reference/linear_reg.html,2026-01-09
216,https://bookdown.org/steve_midway/DAR/part-ii-analysis.html,2026-01-09
217,https://middleprofessor.github.io/benchbiostats/,2026-01-09
218,https://moderndive.com/,2026-01-09
219,https://www.tidymodels.org/,2026-01-09
220,https://github.com/tidymodels/tidymodels.org?tab=readme-ov-file#tidymodelsorg,2026-01-09
221,https://www.tidymodels.org/start/models/,2026-01-09
222,https://creativecommons.org/licenses/by-sa/4.0/,2026-01-09
223,https://quarto.org/docs/authoring/markdown-basics.html,2026-01-09
224,https://creativecommons.org/licenses/by/4.0/,2026-01-09
225,https://raw.githubusercontent.com/uqlibrary/technology-training/master/R/reports/aus_ghg_2019.csv,2026-01-09
226,https://quarto.org/docs/computations/execution-options.html,2026-01-09
227,https://quarto.org/docs/authoring/cross-references.html,2026-01-09
228,https://quarto.org/docs/output-formats/all-formats.html,2026-01-09
229,https://quarto.org/,2026-01-09
230,https://quarto.org/docs/get-started/hello/rstudio.html,2026-01-09
231,https://quarto.org/docs/guide/,2026-01-09
232,https://quarto.org/docs/reference/,2026-01-09
233,https://quarto.org/docs/blog/,2026-01-09
234,https://rstudio.github.io/cheatsheets/quarto.pdf,2026-01-09
235,https://download-directory.github.io/?url=https%3A%2F%2Fgithub.com%2Fuqlibrary%2Ftechnology-training%2Ftree%2Fmaster%2FR%2Fpackaging,2026-01-09
236,https://www.shinyapps.io/,2026-01-09
237,https://dashboard.rc.nectar.org.au,2026-01-09
238,https://hosting.analythium.io/assets/files/shiny-hosting-options.html,2026-01-09
239,https://shiny.posit.co/r/getstarted/shiny-basics/lesson1/index.html,2026-01-09
240,https://shiny.posit.co/r/gallery/,2026-01-09
241,https://mastering-shiny.org/index.html,2026-01-09
242,https://rstudio.github.io/cheatsheets/html/shiny.html,2026-01-09
243,https://my.uq.edu.au/information-and-services/information-technology/software-and-web-apps/uq-software-catalogue/qualtrics,2026-01-09
244,https://github.com/uqlibrary/technology-training-assets/raw/master/Qualtrics/Using_Qualtrics_for_Surveys_Training_Manual.pdf,2026-01-09
245,https://github.com/uqlibrary/technology-training-assets/raw/master/Qualtrics/Qualtrics_Training_Exercise_Files.zip,2026-01-09
246,https://my.uq.edu.au/information-and-services/student-support/orientation/orientation-program,2026-01-09
247,https://github.com/uqlibrary/technology-training-assets/raw/master/Orientation/More%20than%20books-Make%20the%20most%20of%20your%20library.pdf,2026-01-09
248,https://youtu.be/HTUUtNLqKFM,2026-01-09
249,https://github.com/uqlibrary/technology-training-assets/raw/master/Orientation/Get%20connected%20(Wifi%20and%20logging%20in).pdf,2026-01-09
250,https://youtu.be/vSn1iekUwYY,2026-01-09
251,https://github.com/uqlibrary/technology-training-assets/raw/master/Orientation/Systems%20and%20Software%20at%20UQ.pdf,2026-01-09
252,https://youtu.be/lnVBjZhY61A,2026-01-09
253,https://github.com/uqlibrary/technology-training-assets/raw/master/Orientation/Navigating%20Learn.UQ%20(Blackboard).pdf,2026-01-09
254,https://youtu.be/W-Fs17JrDOw,2026-01-09
255,https://my.uq.edu.au/information-and-services/information-technology/software-and-web-apps/uq-software-catalogue/nvivo,2026-01-09
256,https://github.com/uqlibrary/technology-training-assets/raw/master/NVivo/nvivo_getting_started.pdf,2026-01-09
257,https://github.com/uqlibrary/technology-training-assets/raw/master/NVivo/NvivoGettingStarted.zip,2026-01-09
258,https://www.youtube.com/watch?v=5MmiSqmKRQs,2026-01-09
